This list contains all games supported by FinalBurn Neo.

24323 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

+---------------------------------+--------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------+-------------+-----------------------------------------------------------------+--------------------------------+-----------------------------------------------------------------------------------+
| name                            | status | full name                                                                                                                                                              | parent                     | year        | company                                                         | hardware                       | remarks                                                                           |
| pestplce                        |        | Pest Place                                                                                                                                                             | mario                      | 1983        | bootleg                                                         | Miscellaneous                  |                                                                                   |
| nes_pesterminator               |        | Pesterminator (USA)                                                                                                                                                    |                            | 1990        | Color Dreams                                                    | NES / Famicom                  |                                                                                   |
| gg_inudais                      |        | Pet Club Inu Daisuki! (Japan)                                                                                                                                          |                            | 1996        | Sega                                                            | Sega Game Gear                 |                                                                                   |
| md_sampra96                     |        | Pete Sampras Tennis '96 (Euro, J-Cart)                                                                                                                                 |                            | 1995        | Codemasters                                                     | Genesis / Mega Drive           |                                                                                   |
| gg_sampras                      |        | Pete Sampras Tennis (Euro)                                                                                                                                             |                            | 1994        | Codemasters                                                     | Sega Game Gear                 |                                                                                   |
| md_sampras                      |        | Pete Sampras Tennis (Euro, USA, J-Cart)                                                                                                                                |                            | 1994        | Codemasters                                                     | Genesis / Mega Drive           |                                                                                   |
| md_sampras2                     |        | Pete Sampras Tennis (Euro, USA, J-Cart, Alt 2)                                                                                                                         | md_sampras                 | 1994        | Codemasters                                                     | Genesis / Mega Drive           |                                                                                   |
| md_sampras1                     |        | Pete Sampras Tennis (Euro, USA, J-Cart, Alt)                                                                                                                           | md_sampras                 | 1994        | Codemasters                                                     | Genesis / Mega Drive           |                                                                                   |
| spec_pprat                      |        | Peter Pack Rat (48K-128K)                                                                                                                                              |                            | 1989        | Silverbird Software                                             | ZX Spectrum                    |                                                                                   |
| nes_peterpanpir                 |        | Peter Pan & The Pirates (USA)                                                                                                                                          |                            | 1991        | THQ Inc.                                                        | NES / Famicom                  |                                                                                   |
| ppan                            |        | Peter Pan (bootleg of Hook)                                                                                                                                            | hook                       | 1992        | bootleg                                                         | Irem M92                       |                                                                                   |
| cppicf                          |        | Peter Pepper's Ice Cream Factory (DECO Cassette) (US) (set 1)                                                                                                          |                            | 1984        | Data East Corporation                                           | Cassette System                |                                                                                   |
| cppicf2                         |        | Peter Pepper's Ice Cream Factory (DECO Cassette) (US) (set 2)                                                                                                          | cppicf                     | 1984        | Data East Corporation                                           | Cassette System                |                                                                                   |
| spec_pshandm                    |        | Peter Shilton's Handball Maradona (48K)                                                                                                                                |                            | 1986        | Grandslam Entertainments                                        | ZX Spectrum                    |                                                                                   |
| spec_pvsa                       |        | Pets vs Aliens Prologue (128K) (HB)                                                                                                                                    |                            | 2015        | Einar Saukas                                                    | ZX Spectrum                    |                                                                                   |
| pettanp                         |        | Pettan Pyuu (Japan)                                                                                                                                                    | banbam                     | 1984        | Sun Electronics                                                 | Miscellaneous                  |                                                                                   |
| snes_pgaeutoure                 |        | PGA European Tour (Euro)                                                                                                                                               | snes_pgaeutour             | 1996        | THQ Inc. - Black Pearl Software                                 | SNES / Super Famicom           | SA-1 enhancement CPU                                                              |
| md_pgaeuro                      |        | PGA European Tour (Euro, USA)                                                                                                                                          |                            | 1994        | Electronic Arts                                                 | Genesis / Mega Drive           |                                                                                   |
| snes_pgaeutour                  |        | PGA European Tour (USA)                                                                                                                                                |                            | 1996        | THQ Inc. - Black Pearl Software                                 | SNES / Super Famicom           | SA-1 enhancement CPU                                                              |
| snes_pgatour96e                 |        | PGA Tour 96 (Euro)                                                                                                                                                     | snes_pgatour96             | 1995        | Electronic Arts                                                 | SNES / Super Famicom           | SA-1 enhancement CPU                                                              |
| gg_pga96                        |        | PGA Tour 96 (Euro, USA)                                                                                                                                                |                            | 1996        | Black Pearl Software                                            | Sega Game Gear                 |                                                                                   |
| md_pga96                        |        | PGA Tour 96 (Euro, USA)                                                                                                                                                |                            | 1995        | Electronic Arts                                                 | Genesis / Mega Drive           |                                                                                   |
| snes_pgatour96                  |        | PGA Tour 96 (USA, Rev. 1)                                                                                                                                              |                            | 1995        | Electronic Arts                                                 | SNES / Super Famicom           | SA-1 enhancement CPU                                                              |
| sms_pgatour                     |        | PGA Tour Golf (Euro)                                                                                                                                                   |                            | 1991        | Tengen                                                          | Sega Master System             |                                                                                   |
| snes_pgatgolfe                  |        | PGA Tour Golf (Euro)                                                                                                                                                   | snes_pgatgolf              | 1991        | Electronic Arts                                                 | SNES / Super Famicom           |                                                                                   |
| gg_pgatourt                     |        | PGA Tour Golf (Euro, USA)                                                                                                                                              |                            | 1991        | Tengen                                                          | Sega Game Gear                 |                                                                                   |
| md_pgaa                         |        | PGA Tour Golf (Euro, USA, v1.1)                                                                                                                                        | md_pga                     | 1991        | Electronic Arts                                                 | Genesis / Mega Drive           |                                                                                   |
| md_pga                          |        | PGA Tour Golf (Euro, USA, v1.2)                                                                                                                                        |                            | 1991        | Electronic Arts                                                 | Genesis / Mega Drive           |                                                                                   |
| snes_pgatgolf                   |        | PGA Tour Golf (USA)                                                                                                                                                    |                            | 1991        | Electronic Arts                                                 | SNES / Super Famicom           |                                                                                   |
| gg_pgatour                      |        | PGA Tour Golf (USA, v1.1)                                                                                                                                              |                            | 1994        | Electronic Arts                                                 | Sega Game Gear                 |                                                                                   |
| gg_pgatour2                     |        | PGA Tour Golf II (Euro, USA)                                                                                                                                           |                            | 1992        | Time Warner Interactive                                         | Sega Game Gear                 |                                                                                   |
| md_pga2a                        |        | PGA Tour Golf II (Euro, USA)                                                                                                                                           | md_pga2                    | 1992        | Electronic Arts                                                 | Genesis / Mega Drive           |                                                                                   |
| md_pga2                         |        | PGA Tour Golf II (Euro, USA, v1.1)                                                                                                                                     |                            | 1992        | Electronic Arts                                                 | Genesis / Mega Drive           |                                                                                   |
| md_pga2j                        |        | PGA Tour Golf II (Japan)                                                                                                                                               | md_pga2                    | 1993        | Electronic Arts Victor                                          | Genesis / Mega Drive           |                                                                                   |
| md_pga3                         |        | PGA Tour Golf III (Euro, USA)                                                                                                                                          |                            | 1994        | Electronic Arts                                                 | Genesis / Mega Drive           |                                                                                   |
| pgm                             |   NW   | PGM (Polygame Master) System BIOS                                                                                                                                      |                            | 1997        | IGS                                                             | PolyGame Master                | BIOS only                                                                         |
| spec_phaeton                    |        | Phaeton (48K) (HB)                                                                                                                                                     |                            | 2010        | Rafal Niazga                                                    | ZX Spectrum                    |                                                                                   |
| snes_phalanxe                   |        | Phalanx (Euro)                                                                                                                                                         | snes_phalanx               | 1992        | Kemco - Zoom                                                    | SNES / Super Famicom           |                                                                                   |
| snes_phalanx                    |        | Phalanx (USA)                                                                                                                                                          |                            | 1992        | Kemco - Zoom                                                    | SNES / Super Famicom           |                                                                                   |
| phantasm                        |        | Phantasm (Japan)                                                                                                                                                       | avspirit                   | 1990        | Jaleco                                                          | Mega System 1                  |                                                                                   |
| sms_pstarb                      |        | Phantasy Star (Brazil)                                                                                                                                                 | sms_pstar                  | 1987        | Tec Toy                                                         | Sega Master System             |                                                                                   |
| sms_pstar1                      |        | Phantasy Star (Euro, USA, v1.2)                                                                                                                                        | sms_pstar                  | 1987        | Sega                                                            | Sega Master System             |                                                                                   |
| sms_pstar                       |        | Phantasy Star (Euro, USA, v3)                                                                                                                                          |                            | 1987        | Sega                                                            | Sega Master System             |                                                                                   |
| sms_pstarje                     |        | Phantasy Star (Japan) (Hack, English v2.5)                                                                                                                             | sms_pstar                  | 2024        | SMS Power!                                                      | Sega Master System             | YM2413 FM sound chip supported                                                    |
| sms_pstarjp                     |        | Phantasy Star (Japan) (Hack, Portuguese v2.5)                                                                                                                          | sms_pstar                  | 2024        | SMS Power!                                                      | Sega Master System             | YM2413 FM sound chip supported                                                    |
| sms_pstarjs                     |        | Phantasy Star (Japan) (Hack, Spanish v2.5)                                                                                                                             | sms_pstar                  | 2024        | SMS Power!                                                      | Sega Master System             | YM2413 FM sound chip supported                                                    |
| sms_pstarj                      |        | Phantasy Star (Japan)                                                                                                                                                  | sms_pstar                  | 1987        | Sega                                                            | Sega Master System             |                                                                                   |
| sms_pstarjmd                    |        | Phantasy Star (Japan, MD)                                                                                                                                              | sms_pstar                  | 1994        | Sega                                                            | Sega Master System             |                                                                                   |
| sms_pstark                      |        | Phantasy Star (Korea)                                                                                                                                                  | sms_pstar                  | 1987        | Sega                                                            | Sega Master System             |                                                                                   |
| gg_pstaradv                     |        | Phantasy Star Adventure (Japan)                                                                                                                                        |                            | 1992        | Sega                                                            | Sega Game Gear                 |                                                                                   |
| gg_pstargdne                    |        | Phantasy Star Gaiden (Hack, English)                                                                                                                                   | gg_pstargdn                | 1999        | Dynamic-Designs, Taskforce                                      | Sega Game Gear                 |                                                                                   |
| gg_pstargdn                     |        | Phantasy Star Gaiden (Japan)                                                                                                                                           |                            | 1992        | Sega                                                            | Sega Game Gear                 |                                                                                   |
| md_pstar2br                     |        | Phantasy Star II (Brazil)                                                                                                                                              | md_pstar2                  | 199?        | Tec Toy                                                         | Genesis / Mega Drive           |                                                                                   |
| md_pstar2a                      |        | Phantasy Star II (Euro, USA)                                                                                                                                           | md_pstar2                  | 1989        | Sega                                                            | Genesis / Mega Drive           |                                                                                   |
| md_pstar2                       |        | Phantasy Star II (Euro, USA, Rev. A)                                                                                                                                   |                            | 1989        | Sega                                                            | Genesis / Mega Drive           |                                                                                   |
| md_pstar2ser                    |        | Phantasy Star II - Sound Engine Replacement (Hack)                                                                                                                     | md_pstar2                  | 2022        | wyatt8740                                                       | Genesis / Mega Drive           |                                                                                   |
| md_ps2aae                       |        | Phantasy Star II: Amia's Adventure (Hack, English)                                                                                                                     | md_ps2aa                   | 2010        | Jon Najar                                                       | Genesis / Mega Drive           |                                                                                   |
| md_ps2aa                        |        | Phantasy Star II: Amia's Adventure (Japan, SegaNet)                                                                                                                    |                            | 1991        | Sega                                                            | Genesis / Mega Drive           |                                                                                   |
| md_ps2ab                        |        | Phantasy Star II: Anne's Adventure (Japan, SegaNet)                                                                                                                    |                            | 1991        | Sega                                                            | Genesis / Mega Drive           |                                                                                   |
| md_ps2ace                       |        | Phantasy Star II: Huey's Adventure (Hack, English)                                                                                                                     | md_ps2ac                   | 2010        | Jon Najar                                                       | Genesis / Mega Drive           |                                                                                   |
| md_ps2ac                        |        | Phantasy Star II: Huey's Adventure (Japan, SegaNet)                                                                                                                    |                            | 1991        | Sega                                                            | Genesis / Mega Drive           |                                                                                   |
| md_pstar2j                      |        | Phantasy Star II: Kaerazaru Toki no Owari ni (Japan)                                                                                                                   | md_pstar2                  | 1989        | Sega                                                            | Genesis / Mega Drive           |                                                                                   |
| md_ps2ade                       |        | Phantasy Star II: Kinds's Adventure (Hack, English)                                                                                                                    | md_ps2ad                   | 2010        | Jon Najar                                                       | Genesis / Mega Drive           |                                                                                   |
| md_ps2ad                        |        | Phantasy Star II: Kinds's Adventure (Japan, SegaNet)                                                                                                                   |                            | 1991        | Sega                                                            | Genesis / Mega Drive           |                                                                                   |
| md_ps2aee                       |        | Phantasy Star II: Nei's Adventure (Hack, English)                                                                                                                      | md_ps2ae                   | 2010        | Jon Najar                                                       | Genesis / Mega Drive           |                                                                                   |
| md_ps2ae                        |        | Phantasy Star II: Nei's Adventure (Japan, SegaNet)                                                                                                                     |                            | 1991        | Sega                                                            | Genesis / Mega Drive           |                                                                                   |
| md_ps2afe                       |        | Phantasy Star II: Rudger's Adventure (Hack, English)                                                                                                                   | md_ps2af                   | 2010        | Jon Najar                                                       | Genesis / Mega Drive           |                                                                                   |
| md_ps2af                        |        | Phantasy Star II: Rudger's Adventure (Japan, SegaNet)                                                                                                                  |                            | 1991        | Sega                                                            | Genesis / Mega Drive           |                                                                                   |
| md_ps2age                       |        | Phantasy Star II: Shilka's Adventure (Hack, English)                                                                                                                   | md_ps2ag                   | 2010        | Jon Najar                                                       | Genesis / Mega Drive           |                                                                                   |
| md_ps2ag                        |        | Phantasy Star II: Shilka's Adventure (Japan, SegaNet)                                                                                                                  |                            | 1991        | Sega                                                            | Genesis / Mega Drive           |                                                                                   |
| md_ps2ahe                       |        | Phantasy Star II: Yushis's Adventure (Hack, English)                                                                                                                   | md_ps2ah                   | 2010        | Jon Najar                                                       | Genesis / Mega Drive           |                                                                                   |
| md_ps2ah                        |        | Phantasy Star II: Yushis's Adventure (Japan, SegaNet)                                                                                                                  |                            | 1991        | Sega                                                            | Genesis / Mega Drive           |                                                                                   |
| md_ps2abe                       |        | Phantasy Star II:Anne's Adventure (Hack, English)                                                                                                                      | md_ps2ab                   | 2010        | Jon Najar                                                       | Genesis / Mega Drive           |                                                                                   |
| md_pstar3br                     |        | Phantasy Star III: Generations of Doom (Brazil)                                                                                                                        | md_pstar3                  | 1998        | Tec Toy                                                         | Genesis / Mega Drive           |                                                                                   |
| md_pstar3                       |        | Phantasy Star III: Generations of Doom (Euro, USA, Korea)                                                                                                              |                            | 1990        | Sega                                                            | Genesis / Mega Drive           |                                                                                   |
| md_pstar3st                     |        | Phantasy Star III: Successors of Time (Hack, v1.2)                                                                                                                     | md_pstar3                  | 2020        | Rebecca Capowski, lory1990, Peaches                             | Genesis / Mega Drive           |                                                                                   |
| md_pstar3j                      |        | Phantasy Star III: Toki no Keishousha (Japan)                                                                                                                          | md_pstar3                  | 1990        | Sega                                                            | Genesis / Mega Drive           |                                                                                   |
| md_pstar4pt                     |        | Phantasy Star: O Fim do Milenio (Hack, Portuguese v1.0a)                                                                                                               | md_pstar4                  | 2021        | Mad-Dentist                                                     | Genesis / Mega Drive           |                                                                                   |
| md_pstar4j                      |        | Phantasy Star: Sennenki no Owari ni (Japan)                                                                                                                            | md_pstar4                  | 1993        | Sega                                                            | Genesis / Mega Drive           |                                                                                   |
| md_pstar4                       |        | Phantasy Star: The End of the Millennium (Euro)                                                                                                                        |                            | 1994        | Sega                                                            | Genesis / Mega Drive           |                                                                                   |
| md_pstar4c                      |        | Phantasy Star: The End of the Millennium (Hack, Chinese v1.6)                                                                                                          | md_pstar4                  | 2022        | Ken_Tse                                                         | Genesis / Mega Drive           |                                                                                   |
| md_pstar4p2                     |        | Phantasy Star: The End of the Millennium (Prototype, 19941027)                                                                                                         | md_pstar4                  | 1994        | Sega                                                            | Genesis / Mega Drive           |                                                                                   |
| md_pstar4p1                     |        | Phantasy Star: The End of the Millennium (Prototype, 19941107)                                                                                                         | md_pstar4                  | 1994        | Sega                                                            | Genesis / Mega Drive           |                                                                                   |
| md_pstar4u                      |        | Phantasy Star: The End of the Millennium (USA)                                                                                                                         | md_pstar4                  | 1994        | Sega                                                            | Genesis / Mega Drive           |                                                                                   |
| msx_phantis1                    |        | Phantis - Part 1 (Euro, Spanish)                                                                                                                                       |                            | 1987        | Dinamic Software                                                | MSX                            |                                                                                   |
| spec_phantis1                   |        | Phantis - Part 1 (Spanish) (48K)                                                                                                                                       |                            | 1987        | Dinamic Software                                                | ZX Spectrum                    |                                                                                   |
| msx_phantis2                    |        | Phantis - Part 2 (Euro, Spanish)                                                                                                                                       | msx_phantis1               | 1987        | Dinamic Software                                                | MSX                            | Password: 18757                                                                   |
| spec_phantis2                   |        | Phantis - Part 2 (Spanish) (48K)                                                                                                                                       | spec_phantis1              | 1987        | Dinamic Software                                                | ZX Spectrum                    | Password: 18757                                                                   |
| md_phantom                      |        | Phantom 2040 (Euro)                                                                                                                                                    |                            | 1995        | Viacom New Media                                                | Genesis / Mega Drive           |                                                                                   |
| snes_phantom2040e               |        | Phantom 2040 (Euro)                                                                                                                                                    | snes_phantom2040           | 1995        | Viacom New Media                                                | SNES / Super Famicom           |                                                                                   |
| gg_phantom                      |        | Phantom 2040 (Euro, USA)                                                                                                                                               |                            | 1995        | Viacom New Media                                                | Sega Game Gear                 |                                                                                   |
| md_phantomu                     |        | Phantom 2040 (USA)                                                                                                                                                     | md_phantom                 | 1995        | Viacom New Media                                                | Genesis / Mega Drive           |                                                                                   |
| snes_phantom2040                |        | Phantom 2040 (USA)                                                                                                                                                     |                            | 1995        | Viacom New Media                                                | SNES / Super Famicom           |                                                                                   |
| spec_phantclub                  |        | Phantom Club (48K)                                                                                                                                                     |                            | 1988        | Ocean Software                                                  | ZX Spectrum                    |                                                                                   |
| nes_phantomfighter              |        | Phantom Fighter (USA)                                                                                                                                                  |                            | 1990        | FCI Inc. - Pony Canyon                                          | NES / Famicom                  |                                                                                   |
| spec_phantomas                  |        | Phantomas (48K)                                                                                                                                                        |                            | 1986        | Dinamic Software                                                | ZX Spectrum                    | Press 6, 7 and ENTER to select control type                                       |
| spec_phantomas2                 |        | Phantomas 2 (48K)                                                                                                                                                      |                            | 1986        | Dinamic Software                                                | ZX Spectrum                    | Press 6, 7 and ENTER to select control type                                       |
| msx_phantom2                    |        | Phantomas 2 (Euro, Spanish)                                                                                                                                            | msx_vampire                | 1987        | Dinamic Software                                                | MSX                            |                                                                                   |
| spec_phantmuseo                 |        | Phantomas en el museo (Spanish) (48K)                                                                                                                                  |                            | 2012        | The Mojon Twins                                                 | ZX Spectrum                    |                                                                                   |
| msx_phantsaga                   |        | Phantomas Saga Infinity (HB)                                                                                                                                           |                            | 2006        | Karoshi Corporation                                             | MSX                            |                                                                                   |
| spec_phantmarsport128           |        | Phantomas Tales - Marsport (128K) (HB)                                                                                                                                 |                            | 2009        | The Mojon Twins                                                 | ZX Spectrum                    |                                                                                   |
| spec_phantmarsport48            |        | Phantomas Tales - Marsport (48K) (HB)                                                                                                                                  | spec_phantmarsport128      | 2009        | The Mojon Twins                                                 | ZX Spectrum                    |                                                                                   |
| spec_phantsevsew                |        | Phantomas Tales - Severin Sewers (128K) (HB)                                                                                                                           |                            | 2011-2024   | The Mojon Twins - Ubhres Productions                            | ZX Spectrum                    |                                                                                   |
